,Club,Tackles,TacklesW,T_Def3rd,T_Mid3rd,T_Att3rd,VTkl,VAtt,VTkl%,VPast,Press,Successful,%ofSuccessfulPress,P_Def3rd,P_Mid3rd,P_Att3rd,Blocks,Shots_Blocked,ShotsSavedByBlocking,PassesBlocked,Interceptions,Tackles+Interceptions,Clearances,Errors_leading_to_shot
1,Arsenal,573.0,350.0,262.0,211.0,100.0,183.0,421.0,43.5,238.0,4772.0,1440.0,30.2,1398.0,1910.0,1464.0,528.0,143.0,0.0,385.0,476.0,1049.0,641.0,12.0
2,Aston Villa,686.0,398.0,347.0,258.0,81.0,250.0,594.0,42.1,344.0,5515.0,1524.0,27.6,1886.0,2402.0,1227.0,637.0,158.0,3.0,479.0,587.0,1273.0,715.0,6.0
3,Brentford,693.0,398.0,339.0,254.0,100.0,257.0,602.0,42.7,345.0,5566.0,1609.0,28.9,1992.0,2351.0,1223.0,606.0,127.0,3.0,479.0,589.0,1282.0,886.0,12.0
4,Brighton,722.0,452.0,323.0,280.0,119.0,242.0,569.0,42.5,327.0,5667.0,1831.0,32.3,1793.0,2280.0,1594.0,649.0,166.0,3.0,483.0,559.0,1281.0,753.0,14.0
5,Burnley,629.0,361.0,299.0,250.0,80.0,221.0,553.0,40.0,332.0,5527.0,1499.0,27.1,1770.0,2362.0,1395.0,730.0,236.0,8.0,494.0,617.0,1246.0,903.0,11.0
6,Chelsea,660.0,401.0,272.0,283.0,105.0,214.0,536.0,39.9,322.0,5533.0,1702.0,30.8,1643.0,2365.0,1525.0,562.0,114.0,5.0,448.0,557.0,1217.0,730.0,13.0
7,Crystal Palace,690.0,410.0,341.0,261.0,88.0,226.0,525.0,43.0,299.0,6039.0,1810.0,30.0,2086.0,2638.0,1315.0,615.0,149.0,0.0,466.0,564.0,1254.0,810.0,6.0
8,Everton,779.0,477.0,405.0,275.0,99.0,304.0,714.0,42.6,410.0,6346.0,1892.0,29.8,2222.0,2712.0,1412.0,684.0,160.0,3.0,524.0,600.0,1379.0,809.0,10.0
9,Leeds United,858.0,473.0,435.0,321.0,102.0,373.0,871.0,42.8,498.0,7078.0,2118.0,29.9,2446.0,3081.0,1551.0,622.0,168.0,4.0,454.0,627.0,1485.0,751.0,14.0
10,Leicester City,751.0,440.0,359.0,298.0,94.0,264.0,665.0,39.7,401.0,5982.0,1719.0,28.7,2049.0,2652.0,1281.0,637.0,160.0,4.0,477.0,532.0,1283.0,809.0,14.0
11,Liverpool,589.0,366.0,211.0,263.0,115.0,196.0,551.0,35.6,355.0,5360.0,1731.0,32.3,1303.0,2355.0,1702.0,462.0,91.0,5.0,371.0,552.0,1141.0,566.0,7.0
12,Manchester City,508.0,325.0,177.0,225.0,106.0,186.0,478.0,38.9,292.0,4254.0,1381.0,32.5,930.0,1864.0,1460.0,392.0,67.0,3.0,325.0,434.0,942.0,474.0,7.0
13,Manchester Utd,632.0,388.0,333.0,223.0,76.0,230.0,554.0,41.5,324.0,5069.0,1462.0,28.8,1732.0,2209.0,1128.0,564.0,154.0,4.0,410.0,566.0,1198.0,807.0,12.0
14,Newcastle Utd,706.0,407.0,380.0,249.0,77.0,259.0,627.0,41.3,368.0,5430.0,1460.0,26.9,1989.0,2271.0,1170.0,587.0,174.0,5.0,413.0,598.0,1304.0,848.0,8.0
15,Norwich City,678.0,392.0,358.0,256.0,64.0,256.0,643.0,39.8,387.0,6146.0,1570.0,25.5,2410.0,2488.0,1248.0,639.0,207.0,5.0,432.0,633.0,1311.0,840.0,9.0
16,Southampton,666.0,404.0,308.0,269.0,89.0,220.0,586.0,37.5,366.0,5869.0,1806.0,30.8,1915.0,2516.0,1438.0,618.0,151.0,4.0,467.0,677.0,1343.0,848.0,10.0
17,Tottenham,691.0,371.0,316.0,286.0,89.0,234.0,569.0,41.1,335.0,5477.0,1523.0,27.8,2038.0,2341.0,1098.0,612.0,184.0,4.0,428.0,552.0,1243.0,818.0,4.0
18,Watford,693.0,423.0,392.0,240.0,61.0,253.0,600.0,42.2,347.0,5730.0,1656.0,28.9,2111.0,2458.0,1161.0,593.0,160.0,5.0,433.0,675.0,1368.0,907.0,11.0
19,West Ham,557.0,351.0,287.0,198.0,72.0,218.0,562.0,38.8,344.0,4917.0,1372.0,27.9,1771.0,2063.0,1083.0,589.0,190.0,2.0,399.0,539.0,1096.0,824.0,5.0
20,Wolves,733.0,465.0,412.0,252.0,69.0,253.0,620.0,40.8,367.0,5529.0,1633.0,29.5,2133.0,2397.0,999.0,594.0,156.0,5.0,438.0,562.0,1295.0,829.0,8.0
