,Type,Year,Age_group,Gender,Total
1305,Family Problems,2011,30-44,Male,7940
1295,Family Problems,2010,30-44,Male,7617
1315,Family Problems,2012,30-44,Male,7541
1275,Family Problems,2008,30-44,Male,7368
1255,Family Problems,2006,30-44,Male,7293
1285,Family Problems,2009,30-44,Male,7259
1265,Family Problems,2007,30-44,Male,7173
1303,Family Problems,2011,15-29,Male,5987
1235,Family Problems,2004,30-44,Male,5956
1225,Family Problems,2003,30-44,Male,5892
1245,Family Problems,2005,30-44,Male,5876
465,Causes Not known,2011,30-44,Male,5809
1302,Family Problems,2011,15-29,Female,5781
1293,Family Problems,2010,15-29,Male,5755
1215,Family Problems,2002,30-44,Male,5672
1252,Family Problems,2006,15-29,Female,5656
1292,Family Problems,2010,15-29,Female,5559
1313,Family Problems,2012,15-29,Male,5462
455,Causes Not known,2010,30-44,Male,5444
1283,Family Problems,2009,15-29,Male,5437
1253,Family Problems,2006,15-29,Male,5366
1205,Family Problems,2001,30-44,Male,5310
2145,Other Causes (Please Specity),2011,30-44,Male,5305
445,Causes Not known,2009,30-44,Male,5230
1273,Family Problems,2008,15-29,Male,5215
1282,Family Problems,2009,15-29,Female,5194
1263,Family Problems,2007,15-29,Male,5152
1312,Family Problems,2012,15-29,Female,5122
2155,Other Causes (Please Specity),2012,30-44,Male,4989
2135,Other Causes (Please Specity),2010,30-44,Male,4953
2143,Other Causes (Please Specity),2011,15-29,Male,4942
1317,Family Problems,2012,45-59,Male,4899
1223,Family Problems,2003,15-29,Male,4882
1262,Family Problems,2007,15-29,Female,4871
1307,Family Problems,2011,45-59,Male,4850
475,Causes Not known,2012,30-44,Male,4814
1272,Family Problems,2008,15-29,Female,4812
453,Causes Not known,2010,15-29,Male,4806
365,Causes Not known,2001,30-44,Male,4781
1212,Family Problems,2002,15-29,Female,4780
2085,Other Causes (Please Specity),2005,30-44,Male,4763
435,Causes Not known,2008,30-44,Male,4759
2115,Other Causes (Please Specity),2008,30-44,Male,4759
1297,Family Problems,2010,45-59,Male,4756
463,Causes Not known,2011,15-29,Male,4756
425,Causes Not known,2007,30-44,Male,4748
2125,Other Causes (Please Specity),2009,30-44,Male,4706
1232,Family Problems,2004,15-29,Female,4660
433,Causes Not known,2008,15-29,Male,4628
1242,Family Problems,2005,15-29,Female,4625
1222,Family Problems,2003,15-29,Female,4623
1202,Family Problems,2001,15-29,Female,4616
375,Causes Not known,2002,30-44,Male,4540
1213,Family Problems,2002,15-29,Male,4537
395,Causes Not known,2004,30-44,Male,4515
1267,Family Problems,2007,45-59,Male,4498
423,Causes Not known,2007,15-29,Male,4495
2133,Other Causes (Please Specity),2010,15-29,Male,4492
1243,Family Problems,2005,15-29,Male,4450
1233,Family Problems,2004,15-29,Male,4448
1257,Family Problems,2006,45-59,Male,4440
1203,Family Problems,2001,15-29,Male,4437
1277,Family Problems,2008,45-59,Male,4434
2105,Other Causes (Please Specity),2007,30-44,Male,4371
443,Causes Not known,2009,15-29,Male,4269
1287,Family Problems,2009,45-59,Male,4262
1304,Family Problems,2011,30-44,Female,4222
2153,Other Causes (Please Specity),2012,15-29,Male,4222
415,Causes Not known,2006,30-44,Male,4151
373,Causes Not known,2002,15-29,Male,4135
405,Causes Not known,2005,30-44,Male,4075
