,Type,Year,State,Gender,Total
6579,Primary,2010,West Bengal,Male,3945
4973,No Education,2012,Andhra Pradesh,Male,3311
4623,No Education,2007,Andhra Pradesh,Male,3183
4833,No Education,2010,Andhra Pradesh,Male,3115
6649,Primary,2011,West Bengal,Male,3109
3331,Matriculate/Secondary,2012,Maharashtra,Male,3070
3751,Middle,2006,Maharashtra,Male,3055
6578,Primary,2010,West Bengal,Female,3040
4903,No Education,2011,Andhra Pradesh,Male,3015
4693,No Education,2008,Andhra Pradesh,Male,2999
6719,Primary,2012,West Bengal,Male,2983
4171,Middle,2012,Maharashtra,Male,2962
3191,Matriculate/Secondary,2010,Maharashtra,Male,2958
4413,No Education,2004,Andhra Pradesh,Male,2937
6621,Primary,2011,Maharashtra,Male,2928
6691,Primary,2012,Maharashtra,Male,2926
4553,No Education,2006,Andhra Pradesh,Male,2913
3821,Middle,2007,Maharashtra,Male,2913
3261,Matriculate/Secondary,2011,Maharashtra,Male,2891
6341,Primary,2007,Maharashtra,Male,2875
6571,Primary,2010,Tamil Nadu,Male,2868
4031,Middle,2010,Maharashtra,Male,2852
4763,No Education,2009,Andhra Pradesh,Male,2844
6439,Primary,2008,West Bengal,Male,2830
6411,Primary,2008,Maharashtra,Male,2808
6551,Primary,2010,Maharashtra,Male,2778
3961,Middle,2009,Maharashtra,Male,2765
4101,Middle,2011,Maharashtra,Male,2764
4483,No Education,2005,Andhra Pradesh,Male,2761
4343,No Education,2003,Andhra Pradesh,Male,2738
6271,Primary,2006,Maharashtra,Male,2719
4129,Middle,2011,West Bengal,Male,2708
4051,Middle,2010,Tamil Nadu,Male,2685
4793,No Education,2009,Karnataka,Male,2683
6131,Primary,2004,Maharashtra,Male,2681
4233,No Education,2001,Karnataka,Male,2640
6061,Primary,2003,Maharashtra,Male,2638
3681,Middle,2005,Maharashtra,Male,2634
4373,No Education,2003,Karnataka,Male,2619
4121,Middle,2011,Tamil Nadu,Male,2610
3891,Middle,2008,Maharashtra,Male,2598
6369,Primary,2007,West Bengal,Male,2593
3401,Middle,2001,Maharashtra,Male,2587
4961,No Education,2011,Tamil Nadu,Male,2576
6201,Primary,2005,Maharashtra,Male,2570
3541,Middle,2003,Maharashtra,Male,2546
3471,Middle,2002,Maharashtra,Male,2512
4273,No Education,2002,Andhra Pradesh,Male,2505
6229,Primary,2005,West Bengal,Male,2485
5921,Primary,2001,Maharashtra,Male,2478
3981,Middle,2009,Tamil Nadu,Male,2478
3611,Middle,2004,Maharashtra,Male,2477
4199,Middle,2012,West Bengal,Male,2467
6509,Primary,2009,West Bengal,Male,2466
6513,Primary,2010,Andhra Pradesh,Male,2465
6481,Primary,2009,Maharashtra,Male,2465
5991,Primary,2002,Maharashtra,Male,2464
4303,No Education,2002,Karnataka,Male,2435
2911,Matriculate/Secondary,2006,Maharashtra,Male,2397
5031,No Education,2012,Tamil Nadu,Male,2391
4261,No Education,2001,Tamil Nadu,Male,2388
4191,Middle,2012,Tamil Nadu,Male,2381
3911,Middle,2008,Tamil Nadu,Male,2364
2771,Matriculate/Secondary,2004,Maharashtra,Male,2363
6333,Primary,2007,Karnataka,Male,2348
6163,Primary,2005,Andhra Pradesh,Male,2340
6303,Primary,2007,Andhra Pradesh,Male,2339
3783,Middle,2007,Andhra Pradesh,Male,2336
2981,Matriculate/Secondary,2007,Maharashtra,Male,2334
6648,Primary,2011,West Bengal,Female,2331
3989,Middle,2009,West Bengal,Male,2331
4063,Middle,2011,Andhra Pradesh,Male,2327
3051,Matriculate/Secondary,2008,Maharashtra,Male,2305
3465,Middle,2002,Kerala,Male,2305
3395,Middle,2001,Kerala,Male,2303
3121,Matriculate/Secondary,2009,Maharashtra,Male,2302
6438,Primary,2008,West Bengal,Female,2291
3675,Middle,2005,Kerala,Male,2289
6368,Primary,2007,West Bengal,Female,2284
6053,Primary,2003,Karnataka,Male,2281
3919,Middle,2008,West Bengal,Male,2277
3841,Middle,2007,Tamil Nadu,Male,2271
2701,Matriculate/Secondary,2003,Maharashtra,Male,2265
3643,Middle,2005,Andhra Pradesh,Male,2247
2939,Matriculate/Secondary,2006,West Bengal,Male,2238
6443,Primary,2009,Andhra Pradesh,Male,2234
6159,Primary,2004,West Bengal,Male,2223
4059,Middle,2010,West Bengal,Male,2218
3535,Middle,2003,Kerala,Male,2216
4331,No Education,2002,Tamil Nadu,Male,2214
3745,Middle,2006,Kerala,Male,2205
3573,Middle,2004,Andhra Pradesh,Male,2203
6543,Primary,2010,Karnataka,Male,2192
3605,Middle,2004,Kerala,Male,2188
6718,Primary,2012,West Bengal,Female,2184
3713,Middle,2006,Andhra Pradesh,Male,2180
4583,No Education,2006,Karnataka,Male,2179
6123,Primary,2004,Karnataka,Male,2173
4443,No Education,2004,Karnataka,Male,2159
2835,Matriculate/Secondary,2005,Kerala,Male,2152
2841,Matriculate/Secondary,2005,Maharashtra,Male,2143
6613,Primary,2011,Karnataka,Male,2138
6228,Primary,2005,West Bengal,Female,2122
4203,No Education,2001,Andhra Pradesh,Male,2117
4933,No Education,2011,Karnataka,Male,2111
6403,Primary,2008,Karnataka,Male,2102
3993,Middle,2010,Andhra Pradesh,Male,2097
6373,Primary,2008,Andhra Pradesh,Male,2094
5983,Primary,2002,Karnataka,Male,2093
4471,No Education,2004,Tamil Nadu,Male,2089
6055,Primary,2003,Kerala,Male,2084
3955,Middle,2009,Kerala,Male,2083
6508,Primary,2009,West Bengal,Female,2083
5949,Primary,2001,West Bengal,Male,2076
3779,Middle,2006,West Bengal,Male,2067
3815,Middle,2007,Kerala,Male,2065
2631,Matriculate/Secondary,2002,Maharashtra,Male,2061
2561,Matriculate/Secondary,2001,Maharashtra,Male,2060
5913,Primary,2001,Karnataka,Male,2059
6093,Primary,2004,Andhra Pradesh,Male,2057
6263,Primary,2006,Karnataka,Male,2054
6193,Primary,2005,Karnataka,Male,2051
4128,Middle,2011,West Bengal,Female,2047
4891,No Education,2010,Tamil Nadu,Male,2045
2975,Matriculate/Secondary,2007,Kerala,Male,2031
5003,No Education,2012,Karnataka,Male,2027
4513,No Education,2005,Karnataka,Male,2021
4095,Middle,2011,Kerala,Male,2020
3849,Middle,2007,West Bengal,Male,2018
6473,Primary,2009,Karnataka,Male,2003
