,State,Year,Type,Gender,Total
2513,Maharashtra,2012,Married,Male,8756
213,Andhra Pradesh,2010,Married,Male,8659
2503,Maharashtra,2011,Married,Male,8387
223,Andhra Pradesh,2011,Married,Male,8241
2493,Maharashtra,2010,Married,Male,8138
2453,Maharashtra,2006,Married,Male,8133
3713,Tamil Nadu,2012,Married,Male,8122
2463,Maharashtra,2007,Married,Male,8024
183,Andhra Pradesh,2007,Married,Male,7905
233,Andhra Pradesh,2012,Married,Male,7813
2473,Maharashtra,2008,Married,Male,7634
2433,Maharashtra,2004,Married,Male,7525
2483,Maharashtra,2009,Married,Male,7511
2423,Maharashtra,2003,Married,Male,7477
203,Andhra Pradesh,2009,Married,Male,7439
3693,Tamil Nadu,2010,Married,Male,7423
193,Andhra Pradesh,2008,Married,Male,7357
3703,Tamil Nadu,2011,Married,Male,7350
2443,Maharashtra,2005,Married,Male,7232
2403,Maharashtra,2001,Married,Male,7015
2413,Maharashtra,2002,Married,Male,6988
4133,West Bengal,2006,Married,Male,6933
173,Andhra Pradesh,2006,Married,Male,6847
153,Andhra Pradesh,2004,Married,Male,6577
3673,Tamil Nadu,2008,Married,Male,6534
3683,Tamil Nadu,2009,Married,Male,6373
163,Andhra Pradesh,2005,Married,Male,6344
3663,Tamil Nadu,2007,Married,Male,6277
2033,Karnataka,2012,Married,Male,6216
1983,Karnataka,2007,Married,Male,6137
4183,West Bengal,2011,Married,Male,6072
1993,Karnataka,2008,Married,Male,6068
4123,West Bengal,2005,Married,Male,6010
2023,Karnataka,2011,Married,Male,6002
4173,West Bengal,2010,Married,Male,5938
1943,Karnataka,2003,Married,Male,5912
1933,Karnataka,2002,Married,Male,5865
1953,Karnataka,2004,Married,Male,5841
1973,Karnataka,2006,Married,Male,5806
1963,Karnataka,2005,Married,Male,5715
143,Andhra Pradesh,2003,Married,Male,5673
4143,West Bengal,2007,Married,Male,5637
2013,Karnataka,2010,Married,Male,5631
2053,Kerala,2002,Married,Male,5600
3633,Tamil Nadu,2004,Married,Male,5583
1923,Karnataka,2001,Married,Male,5581
2003,Karnataka,2009,Married,Male,5581
4163,West Bengal,2009,Married,Male,5521
4193,West Bengal,2012,Married,Male,5451
133,Andhra Pradesh,2002,Married,Male,5435
3653,Tamil Nadu,2006,Married,Male,5426
3643,Tamil Nadu,2005,Married,Male,5400
2083,Kerala,2005,Married,Male,5388
2063,Kerala,2003,Married,Male,5344
2103,Kerala,2007,Married,Male,5333
2043,Kerala,2001,Married,Male,5306
2093,Kerala,2006,Married,Male,5298
4153,West Bengal,2008,Married,Male,5182
2133,Kerala,2010,Married,Male,5141
123,Andhra Pradesh,2001,Married,Male,5135
2073,Kerala,2004,Married,Male,5120
2123,Kerala,2009,Married,Male,5099
2153,Kerala,2012,Married,Male,4998
4103,West Bengal,2003,Married,Male,4980
4132,West Bengal,2006,Married,Female,4967
2113,Kerala,2008,Married,Male,4952
3603,Tamil Nadu,2001,Married,Male,4944
3623,Tamil Nadu,2003,Married,Male,4900
3613,Tamil Nadu,2002,Married,Male,4863
4113,West Bengal,2004,Married,Male,4854
2143,Kerala,2011,Married,Male,4845
4122,West Bengal,2005,Married,Female,4520
4182,West Bengal,2011,Married,Female,4415
4083,West Bengal,2001,Married,Male,4385
4142,West Bengal,2007,Married,Female,4377
4172,West Bengal,2010,Married,Female,4331
3712,Tamil Nadu,2012,Married,Female,4315
4093,West Bengal,2002,Married,Male,4266
4152,West Bengal,2008,Married,Female,4265
4102,West Bengal,2003,Married,Female,4212
4162,West Bengal,2009,Married,Female,4133
3692,Tamil Nadu,2010,Married,Female,4027
4192,West Bengal,2012,Married,Female,3927
3702,Tamil Nadu,2011,Married,Female,3919
3682,Tamil Nadu,2009,Married,Female,3902
2393,Madhya Pradesh,2012,Married,Male,3860
4112,West Bengal,2004,Married,Female,3833
3672,Tamil Nadu,2008,Married,Female,3814
222,Andhra Pradesh,2011,Married,Female,3779
2402,Maharashtra,2001,Married,Female,3734
2452,Maharashtra,2006,Married,Female,3707
212,Andhra Pradesh,2010,Married,Female,3706
2502,Maharashtra,2011,Married,Female,3696
3662,Tamil Nadu,2007,Married,Female,3631
232,Andhra Pradesh,2012,Married,Female,3630
2412,Maharashtra,2002,Married,Female,3621
2383,Madhya Pradesh,2011,Married,Male,3589
2422,Maharashtra,2003,Married,Female,3563
4082,West Bengal,2001,Married,Female,3557
2492,Maharashtra,2010,Married,Female,3538
2462,Maharashtra,2007,Married,Female,3519
182,Andhra Pradesh,2007,Married,Female,3505
2432,Maharashtra,2004,Married,Female,3454
3652,Tamil Nadu,2006,Married,Female,3452
2373,Madhya Pradesh,2010,Married,Male,3426
2442,Maharashtra,2005,Married,Female,3410
2512,Maharashtra,2012,Married,Female,3370
2363,Madhya Pradesh,2009,Married,Male,3366
202,Andhra Pradesh,2009,Married,Female,3340
4092,West Bengal,2002,Married,Female,3276
