,Date,City,State,Dead,Injured,Total,Description,Year
371,2021-12-31,Capitol Heights,Maryl,0,4,4,An adult and three juveniles were wounded in an evening shooting.,2021
372,2021-12-31,Los Angeles,California,0,6,6,Six shoppers were wounded at a grocery supermarket by two black male shooters.,2021
373,2021-12-31,Gulfport,Mississippi,4,3,7,"During an outdoor New Year's Eve party, a physical fight started escalated to a shooting, with multiple people firing guns.",2021
374,2021-12-30,Philadelphia,Pennsylvania,0,6,6,Six shooters opened fire on a busy street with six wounded.,2021
375,2021-12-30,Kirksville,Missouri,2,2,4,An adult and infant were killed and two adults wounded in an afternoon shooting.,2021
376,2021-12-27,Mobile,Alabama,1,3,4,A man was killed and three others wounded at a local gas station.,2021
377,2021-12-27,Youngstown,Ohio,1,3,4,A man was killed and three others were wounded at a local apartment complex.,2021
378,2021-12-27,Denver  and Lakewood,Colorado,6,2,8,A gunman went on a shooting spree across multiple locations in the Denver metropolitan area before dying in a shootout with police.,2021
379,2021-12-26,Garland,Texas,3,1,4,Three teenagers were killed and a fourth wounded in a convenience store.,2021
380,2021-12-26,Buffalo,New York,0,4,4,Four adults were wounded inside a pop-up store.,2021
381,2021-12-26,Clear Brook,Virginia,1,4,5,"Four people were wounded at a rest stop, and the shooter fled before police arrived. The shooter was later found dead.",2021
382,2021-12-26,Fayette,Mississippi,0,7,7,Seven people were wounded at a party in the early morning. An 18-year-old was later arrested.,2021
383,2021-12-26,Philadelphia,Pennsylvania,0,4,4,Four people were wounded in a drive by shooting in North Philadelphia.,2021
384,2021-12-25,Lafayette,Louisiana,0,4,4,Four people were wounded near a Waffle House in the early morning.,2021
385,2021-12-24,New York City,New York,0,4,4,Four men were wounded outside a Brooklyn deli shortly before midnight.,2021
386,2021-12-24,Roswell,Georgia,1,3,4,A woman was arrested after killing one and wounding three in a domestic incident at an apartment.,2021
387,2021-12-24,Swissvale,Pennsylvania,0,6,6,"Six people were found wounded in a local home, with one identified as the potential shooter.",2021
388,2021-12-19,Brooklyn,Illinois,1,3,4,One man was killed and three others were wounded in a shooting across the street from a strip club.,2021
389,2021-12-17,Baltimore,Maryl,1,4,5,A man was killed and four people wounded in Penn North.,2021
390,2021-12-17,Portsmouth,Virginia,0,4,4,Four adults were wounded in the early morning at a gentleman's club.,2021
391,2021-12-17,Baltimore,Maryl,1,3,4,One person was killed and three wounded in Upton.,2021
392,2021-12-16,Troy,Alabama,0,4,4,Four people were wounded in an afternoon shooting.,2021
393,2021-12-13,Fresno,California,0,4,4,Police were alerted to four wounded by gunfire after an argument escalated through a shotspotter alert.,2021
394,2021-12-13,Philadelphia,Pennsylvania,0,4,4,"Four adults were wounded in Kengsington, they were found by patrolling police.",2021
395,2021-12-13,Durham,North Carolina,2,4,6,"Six people in an SUV were shot at in the early morning, causing the SUV to crash. Two adults were killed and four juveniles wounded.",2021
396,2021-12-12,Baytown,Texas,1,14,15,One person was killed and fourteen others wounded in a drive-by shooting at a memorial vigil in Baytown for another shooting victim.,2021
397,2021-12-12,Woodbridge,Virginia,0,4,4,Three security guards and a bystander were shot by a gunman at a nightclub.,2021
398,2021-12-12,Bolton,Mississippi,0,6,6,Six people were wounded at local sports bar in the early morning.,2021
399,2021-12-12,Tampa,Florida,0,5,5,"Five people were wounded in the early morning, a suspect was arrested days later.",2021
400,2021-12-11,River Grove,Illinois,1,3,4,"Four adults were shot at a bowling alley at approximately 1 AM, killing a 23-year-old man.",2021
401,2021-12-10,Lansing,Michigan,1,3,4,"Three teenagers and a baby were shot while in a car near an intersection, killing a 17-year-old girl.",2021
402,2021-12-10,Orlando,Florida,0,5,5,Five people were shot in a drive-by shooting in the Callahan neighborhood.,2021
403,2021-12-10,Charlotte,North Carolina,0,5,5,Five people were shot in the Grier Heights neighborhood.,2021
404,2021-12-09,Beloit,Wisconsin,1,5,6,"Responding officers found one person killed and two wounded, with an additional two wounded found at the hospital.",2021
405,2021-12-06,Philadelphia,Pennsylvania,0,4,4,Three men and a teenager were wounded in Brewerytown.,2021
406,2021-12-05,El Paso,Texas,1,3,4,"A fight broke out in the parking lot of a bar, after a group was ejected. It escalated, with bystanders attempting to intervene. A man walked up and shot at the bystanders killing one and wounding three.",2021
407,2021-12-05,Detroit,Michigan,2,2,4,"Four men were shot by a gunman, two of whom succumbed to their injuries.",2021
408,2021-12-03,Memphis,Tennessee,2,2,4,Two teenagers were killed and a teenager and an infant were wounded in a drive-by shooting at a gas station.,2021
409,2021-12-02,Elizabeth City,North Carolina,3,3,6,Responding officers found two adults and a child killed and three adults wounded.,2021
410,2021-11-30,Rex,Georgia,4,2,6,Responding officers to a domestic incident were shot at by the suspect. The suspect had killed two women and wounded a child previously. An officer and the suspect were killed and another officer was wounded.,2021
411,2021-11-30,Oxford,Michigan,4,7,11,"Oxford High School shooting: A 15-year-old student opened fire at Oxford High School initially killing three students and wounding seven others and a teacher, before being arrested. One of the wounded died a day later. The suspect was charged with four counts of murder and seven counts of attempted murder while his parents, who bought him the gun used in the shooting as an early Christmas present, were charged with four counts of involuntary manslaughter.",2021
412,2021-11-28,Philadelphia,Pennsylvania,0,4,4,Four people were wounded in an evening shooting in Kingsessing.,2021
413,2021-11-28,Lancaster,California,5,0,5,A man killed his four children and his mother in law in their home. He turned himself in to police an hour later and was charged with five counts of murder.,2021
414,2021-11-28,Aurora,Colorado,0,5,5,Five youths were wounded in a shooting.,2021
415,2021-11-28,Baltimore,Maryl,0,7,7,Responding police found six adults and a teenager wounded in East Baltimore.,2021
416,2021-11-28,Evanston,Illinois,1,4,5,A teenager was killed and four others wounded at a gas station.,2021
417,2021-11-27,Newark,New Jersey,1,3,4,A teenager was killed and three others were wounded after men in a car opened fire in the South Ward.,2021
418,2021-11-26,Nashville,Tennessee,3,4,7,"Home invaders killed two teenagers and wounded their mother, two teenage siblings and an adult sibling. One of the assailants was also killed.",2021
419,2021-11-25,San Antonio,Texas,2,2,4,Two men were killed and two others wounded in a believed targeted drive-by shooting. Eyewitnesses are not cooperating with police.,2021
420,2021-11-25,Green Sea,South Carolina,0,4,4,Four people were wounded and transported to the hospital in private vehicles.,2021
421,2021-11-23,Lehigh Acres,Florida,0,4,4,Four people were wounded after a large party was ending. Police believe it connected to another incident near a local hospital.,2021
422,2021-11-23,Marshall,Texas,1,3,4,A man was killed and three others wounded shortly before noon. A suspect was arrested.,2021
423,2021-11-22,Warsaw,North Carolina,2,2,4,Two men were killed and two juveniles were wounded while in a vehicle outside an apartment complex.,2021
424,2021-11-21,Baton Rouge,Louisiana,1,4,5,A man was killed and four others were wounded in the parking lots of a local club.,2021
425,2021-11-21,Passaic,New Jersey,0,5,5,Four adults and one child were shot during a backyard party.,2021
426,2021-11-20,Berwyn,Illinois,0,4,4,Four people were wounded at a local bar in the early morning.,2021
427,2021-11-20,Fresno,California,2,2,4,Two men were killed and two wounded at an apartment complex.,2021
428,2021-11-18,Cambridge,Maryl,1,3,4,"One teen was killed, and three other teens were wounded in two separate but related shootings on the same block.",2021
429,2021-11-17,Chicago,Illinois,0,4,4,Four people were wounded in a drive-by shooting shortly after midnight on the Near West Side.,2021
430,2021-11-17,East St. Louis,Illinois,1,3,4,A man was killed and three others wounded in an afternoon shooting.,2021
431,2021-11-17,New York City,New York,0,4,4,Two adults and two teens were wounded in a potentially targeted drive-by in Williamsbridge.,2021
432,2021-11-17,Newburgh,New York,0,4,4,Four teens were shot during a gunfight near a high school.,2021
433,2021-11-15,Aurora,Colorado,0,6,6,Six teenagers were wounded in a drive-by shooting at a park located across from a high school.,2021
434,2021-11-15,New York City,New York,0,4,4,Four men were shot outside of a bodega in Harlem.,2021
435,2021-11-14,Chiloquin,Oregon,2,2,4,"Four people were shot, two of the victims fatally. A man from Klamath Falls was arrested and charged with murder.",2021
436,2021-11-14,Tucson,Arizona,4,1,5,"Four men arrived at a trailer park and confronted a homeowner and a guest, leading to the homeowner shooting and killing the four men and the guest being injured by the four attackers.",2021
437,2021-11-14,Troy,Alabama,1,5,6,A man was killed and five others wounded at a gas station in the early morning.,2021
438,2021-11-14,Columbia,Missouri,1,5,6,"Two men opened fire at each other at a lounge, wounding five. One of the shooters was killed by responding police.",2021
439,2021-11-14,Philadelphia,Pennsylvania,0,6,6,"Three men and three women were shot, one man critically.",2021
440,2021-11-13,Houma,Louisiana,0,4,4,"Four people were wounded at a high school homecoming after-party, after multiple attendees began shooting.",2021
441,2021-11-13,Winston-Salem,North Carolina,0,4,4,Four people were wounded after several people opened fire at a party.,2021
442,2021-11-12,Richmond,Virginia,2,2,4,Two children were killed and two adults wounded on the East End.,2021
443,2021-11-12,Birmingham,Alabama,2,2,4,"Two wounded were found outside a vehicle, where two were found deceased in the backseat. Several weapons were found in the vehicle.",2021
444,2021-11-09,Rochester,New York,0,4,4,Four teenagers were wounded in an evening shooting.,2021
445,2021-11-09,Scotland,South Dakota,3,2,5,Three adults were killed and an adult and child were wounded after an argument escalated inside a home.,2021
446,2021-11-09,Killona,Louisiana,1,4,5,A man was killed and three adults and a teenager wounded in an ambush-style shooting outside a grocery store.,2021
447,2021-11-08,Philadelphia,Pennsylvania,0,4,4,Three teenagers and an adult were wounded after three of them exited a local store in Feltonville and were chased down the street.,2021
448,2021-11-07,Kenosha,Wisconsin,1,3,4,A man was killed and three others wounded in the early morning.,2021
449,2021-11-06,Oakley,California,2,2,4,Two people were killed and two wounded at a family birthday party.,2021
450,2021-11-06,Marshall,Texas,0,6,6,Six people were wounded in the early morning at a large community event.,2021
451,2021-11-06,Highland,California,0,4,4,"Shortly after midnight a man opened fire at a local bar, wounding four.",2021
452,2021-11-05,Oakland,California,1,3,4,A man was killed and three wounded in a drive-by shooting in East Oakland.,2021
453,2021-11-03,Norfolk,Virginia,3,2,5,A man killed three women and wounded two in a targeted domestic dispute. One of the wounded was targeted and the others attempted to help her.,2021
454,2021-11-03,Des Moines,Iowa,0,4,4,Four people were wounded in an evening shooting a block away from a middle school.,2021
