,Date,City,State,Dead,Injured,Total,Year,Month
0,2022-07-07,Chicago,Illinois,0,4,4,2022,7
1,2022-07-06,Tampa,Florida,0,4,4,2022,7
2,2022-07-06,Chicago,Illinois,0,4,4,2022,7
3,2022-07-06,St. Cloud,Minnesota,0,4,4,2022,7
4,2022-07-05,Youngstown,Ohio,1,3,4,2022,7
5,2022-07-05,Gary,Indiana,3,7,10,2022,7
6,2022-07-05,Steubenville,Ohio,0,4,4,2022,7
7,2022-07-05,Rochester,New York,1,3,4,2022,7
8,2022-07-04,Shreveport,Louisiana,1,3,4,2022,7
9,2022-07-04,Highland Park,Illinois,7,25,32,2022,7
10,2022-07-04,Boston,Massachusetts,0,4,4,2022,7
11,2022-07-04,Chicago,Illinois,0,5,5,2022,7
12,2022-07-04,Richmond,Virginia,0,6,6,2022,7
13,2022-07-04,Kansas City,Missouri,0,4,4,2022,7
14,2022-07-04,Kenosha,Wisconsin,1,4,5,2022,7
15,2022-07-04,Sacramento,California,1,4,5,2022,7
16,2022-07-04,New York City,New York,0,4,4,2022,7
17,2022-07-04,Denver,Colorado,1,3,4,2022,7
18,2022-07-04,Minneapolis,Minnesota,0,7,7,2022,7
19,2022-07-04,Oakland,California,0,5,5,2022,7
20,2022-07-03,Manassas,Virginia,0,4,4,2022,7
21,2022-07-03,Mullins,South Carolina,0,4,4,2022,7
22,2022-07-03,Surprise,Arizona,3,4,7,2022,7
23,2022-07-03,Tacoma,Washington,0,4,4,2022,7
24,2022-07-02,Haltom City,Texas,3,4,7,2022,7
25,2022-07-02,Clinton,North Carolina,0,6,6,2022,7
26,2022-07-01,New York City,New York,1,3,4,2022,7
27,2022-07-01,Chicago,Illinois,2,3,5,2022,7
28,2022-07-01,Chicago,Illinois,0,4,4,2022,7
29,2022-07-01,Greenwood,Mississippi,1,7,8,2022,7
30,2022-06-30,Allen City,Kentucky,3,4,7,2022,6
31,2022-06-30,Newark,New Jersey,0,9,9,2022,6
32,2022-06-29,Jersey City,New Jersey,0,4,4,2022,6
33,2022-06-29,Philadelphia,Pennsylvania,0,4,4,2022,6
34,2022-06-28,Ripley,Tennessee,1,3,4,2022,6
35,2022-06-27,Holly Springs,Mississippi,1,3,4,2022,6
36,2022-06-27,Charlotte,North Carolina,0,5,5,2022,6
37,2022-06-26,Paterson,New Jersey,0,5,5,2022,6
38,2022-06-26,Blakely,Georgia,1,6,7,2022,6
39,2022-06-26,San Antonio,Texas,1,3,4,2022,6
40,2022-06-26,Tacoma,Washington,0,8,8,2022,6
41,2022-06-26,Tacoma,Washington,1,4,5,2022,6
42,2022-06-26,Sutherlin,Virginia,1,7,8,2022,6
43,2022-06-26,Winona,Texas,0,5,5,2022,6
44,2022-06-25,Minneapolis,Minnesota,0,4,4,2022,6
