,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
1,1950,147095.867,148281.55,73516.095,74765.455,16.21,98.329,29.267,1952.177,13.178,2371.366,1.599,43.349,3379.666,398.139,22.814,2.934,1.359,26.642,105.4,1427.489,813.717,613.772,9.636,68.059,65.397,71.013,56.019,53.612,58.682,13.923,12.771,15.107,6.439,5.916,6.881,106.237,31.697,3286.958,123.753,36.988,84.885,99.553,70.14,240.517,287.453,190.745,96.222,116.753,75.683,206.62,251.426,159.586,419.191,2.83
2,1951,149467.233,150598.453,74784.499,75813.955,16.463,98.642,29.26,2113.678,14.03,2262.44,1.502,46.148,3572.09,411.461,23.711,3.109,1.443,26.589,105.2,1458.412,831.967,626.445,9.681,68.17,65.411,71.218,56.12,53.621,58.874,13.983,12.793,15.199,6.466,5.953,6.894,110.603,31.442,3474.793,129.123,36.849,84.088,99.665,68.544,239.592,288.168,188.221,94.638,116.249,73.138,205.818,252.234,157.247,148.764,0.987
3,1952,151729.673,152941.727,76079.283,76862.444,16.719,98.981,29.208,2154.27,14.111,2424.108,1.585,43.732,3627.002,408.369,23.758,3.208,1.49,26.63,105.1,1472.732,840.991,631.741,9.647,68.366,65.545,71.496,56.313,53.73,59.171,14.146,12.938,15.37,6.597,6.07,7.031,115.255,31.229,3528.796,133.118,36.686,83.75,99.286,67.789,236.954,286.578,184.486,93.681,115.922,71.152,203.188,250.916,153.234,269.83,1.767
4,1953,154153.781,155451.199,77221.443,78229.756,16.994,98.711,29.265,2193.644,14.122,2594.836,1.669,41.531,3682.34,418.413,23.706,3.277,1.525,26.594,105.3,1488.696,851.322,637.374,9.584,68.7,65.796,71.915,56.504,53.844,59.438,14.154,12.903,15.42,6.557,6.012,7.006,109.039,29.89,3586.404,126.699,34.917,79.561,95.603,63.146,230.609,280.804,177.789,90.363,113.151,67.382,198.386,246.529,148.266,401.184,2.583
5,1954,156748.617,158205.873,78577.893,79627.98,17.295,98.681,29.301,2330.989,14.755,2914.512,1.842,37.63,3783.142,439.907,23.947,3.39,1.584,26.565,105.1,1452.153,830.004,622.149,9.192,69.489,66.573,72.695,57.162,54.472,60.106,14.506,13.19,15.83,6.822,6.259,7.279,107.121,28.502,3688.644,123.47,33.065,74.762,90.101,59.098,218.593,267.18,167.812,84.951,106.653,63.129,187.794,234.391,139.594,583.538,3.694
6,1955,159663.129,161136.449,80054.91,81081.539,17.615,98.734,29.175,2318.24,14.411,2946.641,1.829,37.898,3814.76,450.25,23.714,3.436,1.607,26.525,105.1,1496.52,854.63,641.889,9.303,69.546,66.58,72.804,57.144,54.399,60.148,14.388,13.051,15.731,6.686,6.126,7.137,105.487,27.76,3721.685,121.879,32.147,73.577,89.006,57.77,215.949,265.726,163.95,83.974,106.153,61.648,185.941,233.794,136.456,628.394,3.906
7,1956,162609.77,164063.411,81493.353,82570.058,17.935,98.696,29.059,2382.476,14.541,2907.283,1.772,39.117,3914.029,477.273,23.888,3.537,1.656,26.45,105.1,1531.553,874.908,656.646,9.347,69.63,66.61,72.948,57.183,54.38,60.249,14.409,13.028,15.793,6.669,6.08,7.141,106.582,27.342,3819.818,122.838,31.614,72.577,88.074,56.655,214.681,264.835,162.349,83.354,105.607,60.953,185.192,233.441,135.359,524.808,3.203
8,1957,165517.053,166949.12,82879.156,84069.964,18.251,98.584,28.981,2399.53,14.39,2864.135,1.716,40.393,3996.568,495.902,23.968,3.615,1.692,26.425,105,1597.038,910.367,686.671,9.578,69.406,66.363,72.746,56.967,54.13,60.068,14.281,12.862,15.698,6.598,6.019,7.057,109.16,27.381,3900.248,125.79,31.705,73.509,88.631,57.991,217.548,268.239,164.748,84.454,106.76,62.079,187.954,236.883,137.5,464.607,2.786
9,1958,168381.188,170147.101,84436.482,85710.619,18.6,98.513,28.835,2340.669,13.807,3531.826,2.076,33.389,3948.342,495.097,23.29,3.568,1.672,26.411,105,1607.673,914.034,693.639,9.483,69.661,66.603,73,57.215,54.353,60.327,14.371,12.928,15.802,6.608,6.02,7.069,108.347,27.367,3853.225,125.289,31.672,71.708,86.572,56.462,213.187,263.867,160.526,81.794,103.906,59.666,183.643,232.667,133.194,1191.159,7.026
10,1959,171913.014,173324.608,85975.164,87349.444,18.948,98.427,28.736,2371.753,13.703,2823.188,1.629,42.55,3992.771,508.765,23.069,3.579,1.679,26.415,104.9,1621.018,922.864,698.154,9.366,69.889,66.752,73.31,57.398,54.47,60.575,14.521,13.037,15.981,6.691,6.092,7.156,106.956,26.722,3898.616,123.551,30.852,70.892,85.998,55.349,211.088,262.763,157.33,81.19,103.655,58.678,182.071,231.922,130.729,451.439,2.608
